@relation sex
@attribute height real
@attribute weight real
@attribute sex {f,m}
@data
164.0,46.0,f
176.0,65.0,m
176.0,74.0,m
171.0,65.0,m
185.0,68.5,m
172.0,58.0,f
169.0,56.0,m
160.0,47.0,f
173.0,84.0,m
165.0,55.0,m
168.0,60.0,m
155.0,43.0,f
171.0,56.0,m
168.0,57.0,f
165.0,55.0,m
160.0,48.0,f
170.0,60.0,m
173.0,60.0,m
165.0,60.0,m
178.0,80.0,m
155.0,48.0,f
160.0,56.0,m
172.0,65.0,m
179.0,80.0,m
175.0,60.0,m
173.0,75.0,m
170.0,60.0,m
180.0,58.0,m
168.0,63.0,m
172.0,57.0,m
185.0,65.0,m
173.0,70.0,m
161.0,46.0,f
170.0,55.0,f
175.0,60.0,m
172.0,70.0,m
163.0,46.0,f
175.0,75.0,m
178.0,66.0,m
178.0,60.0,m
174.0,62.0,m
178.0,63.0,m
169.0,65.0,m
178.0,72.0,m
164.0,60.0,f
180.0,67.0,m
182.0,68.0,m
170.0,50.0,f
177.0,65.0,m
173.0,65.0,m
160.0,56.0,f
183.0,74.0,m
174.0,75.0,m
168.0,70.0,m
175.0,66.0,m
168.0,48.0,f
155.0,41.0,f
170.0,55.0,m
175.0,70.0,m
163.0,48.0,f
175.0,64.0,m
183.0,62.0,m
176.0,62.0,m
173.0,65.0,m
172.0,82.0,m
160.0,45.0,m
180.0,60.0,m
170.0,60.0,m
173.0,60.0,m
160.0,46.0,f
175.0,65.0,m
178.0,62.0,m
175.0,70.0,m
170.0,60.0,m
176.0,60.0,f
180.0,68.0,m
189.0,78.0,m
173.0,56.0,m
155.0,40.0,f
170.0,65.0,m
186.0,88.0,m
178.0,69.0,m
172.0,70.0,m
175.0,53.0,m
177.0,64.0,m
175.0,70.0,m
170.0,58.0,m
170.0,52.0,f
175.0,70.0,m
175.0,65.0,m
177.0,64.0,m
174.0,66.0,m
166.0,55.0,m
179.0,63.0,m
168.0,52.0,m
160.0,60.0,f
165.0,53.0,f
176.0,56.0,m
178.0,60.0,m
172.0,61.0,m
